"","operatingunit","countryname","snu1","snu1uid","psnu","psnuuid","fy16snuprioritization","tx_ret_denom","tx_ret_num","tx_ret_pct","tx_new","ou","ea_districts","national_sub_sub_unit","cbcts_lnkg_exp","cbcts_rtnadhr_exp","fbcts_loaded_tot"
"1","Angola","Angola","_Military Angola","bSwiBL5Y4SW","_Military Angola","bSwiBL5Y4SW",,0,0,,503,"Angola","_Military Angola","_Military Angola",0,0,125784.6175
"2","Angola","Angola","Huambo","Xanlu770shV","Huambo","Xanlu770shV",,0,0,,0,"Angola","Huambo","Huambo",0,0,0
"3","Angola","Angola","Luanda","bmIyiALRBEZ","Luanda","bmIyiALRBEZ","2 - Scale-Up: Aggressive",0,0,,3390,"Angola","Luanda","Luanda",425809,255485,2852073.4587
"4","Asia Regional Program","China","China","M74LCLccDYF","Yunnan Province","cnvySs9WnJU","4 - Sustained",107,93,0.869,64,"China","ChinaYunnan Province","Yunnan Province",13922,64944,37676.009039
"5","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Champasak","OXAf4rQUTGT","2 - Scale-Up: Aggressive",95,79,0.832,156,"Laos","LaosChampasak","Champasak",7560,0,8609.66
"6","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Luangprabang","mHYoOu390d1",,0,0,,0,"Laos","LaosLuangprabang","Luangprabang",0,0,0
"7","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Savannakhet","WO5TOA88LfB","2 - Scale-Up: Aggressive",120,93,0.775,114,"Laos","LaosSavannakhet","Savannakhet",7560,0,7262.66
"8","Asia Regional Program","Laos","Laos","PcXTNoVUrUc","Vientiane Capital","GhzEbWf9bsL","2 - Scale-Up: Aggressive",436,377,0.865,515,"Laos","LaosVientiane Capital","Vientiane Capital",0,0,22758.4686
"9","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Bangkok","ENdy7rBFj0e","2 - Scale-Up: Aggressive",570,523,0.918,1207,"Thailand","ThailandBangkok","Bangkok",,,419298.55321
"10","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Chiang Mai","B0gZGEhXexz","2 - Scale-Up: Aggressive",0,0,,100,"Thailand","ThailandChiang Mai","Chiang Mai",,,131298.24834
"11","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Chiang Rai","QrlekrJ7KUT",,7,6,0.857,13,"Thailand","ThailandChiang Rai","Chiang Rai",0,0,13103.8833
"12","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Chon Buri","VUAoXAWK0U5","2 - Scale-Up: Aggressive",0,0,,111,"Thailand","ThailandChonburi","Chonburi",,,74252.243482
"13","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Khon Kaen","qjogDexsSTl","2 - Scale-Up: Aggressive",298,238,0.799,238,"Thailand","ThailandKhon Kaen","Khon Kaen",0,0,16065
"14","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Nakhon Ratchasima","QlF4HTDdDi9",,0,0,,0,"Thailand","ThailandNakhon Ratchasima","Nakhon Ratchasima",0,0,5590.0672
"15","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Nonthaburi","DLjQyOp9mwb",,0,0,,0,"Thailand","ThailandNonthaburi","Nonthaburi",0,0,29251.487057
"16","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Pathum Thani","zyiF9wmzgZm",,0,0,,0,"Thailand","ThailandPathum Thani","Pathum Thani",0,0,0
"17","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Phetchaburi","lKe8G2l6ojE",,34,33,0.971,19,"Thailand","ThailandPhetchaburi","Phetchaburi",0,0,6330
"18","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Phuket","tcKsxhCSv2C",,39,35,0.897,228,"Thailand","ThailandPhuket","Phuket",0,0,6524.237
"19","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Samut Prakan","jjaVwfvmGDd",,0,0,,0,"Thailand","ThailandSamut Prakan","Samut Prakan",0,0,0
"20","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Songkhla","c7c7lQ5p9KD","2 - Scale-Up: Aggressive",10,10,1,54,"Thailand","ThailandSongkhla","Songkhla",,,30209.344208
"21","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Ubon Ratchathani","YwRi3R8i43o",,0,0,,0,"Thailand","ThailandUbon Ratchathani","Ubon Ratchathani",0,0,6309.7632
"22","Asia Regional Program","Thailand","Thailand","Gv5ApcpDrIB","Udon Thani","IemvUuK6g1A","2 - Scale-Up: Aggressive",291,241,0.828,218,"Thailand","ThailandUdon Thani","Udon Thani",0,0,4706
"23","Botswana","Botswana","Central District","dBanTQZVvtG","Mahalapye District","iY69BUSqcnC","1 - Scale-Up: Saturation",910,754,0.829,1155,"Botswana","Mahalapye District","Mahalapye District",14684,42616,387531.40321
"24","Botswana","Botswana","Central District","dBanTQZVvtG","Selibe-Phikwe District","qUdeJw9Q0Vk","6 - Sustained: Commodities",0,0,,0,"Botswana","Selibe-Phikwe District","Selibe-Phikwe District",12552,4182,350381.124
"25","Botswana","Botswana","Central District","dBanTQZVvtG","Serowe/Palapye District","YmeyoDakwFX","4 - Sustained",1196,1016,0.849,1663,"Botswana","Serowe/Palapye District","Serowe/Palapye District",23745,0,452391.7448
"26","Botswana","Botswana","Central District","dBanTQZVvtG","Tutume District","gchw5PMi4N2","4 - Sustained",874,752,0.86,1062,"Botswana","Tutume District","Tutume District",0,0,569797.65156
"27","Botswana","Botswana","Chobe District","ML4czwDtK10","Chobe District","e9Ze74PEe99","6 - Sustained: Commodities",0,0,,0,"Botswana","Chobe District","Chobe District",0,0,224950
"28","Botswana","Botswana","Kgatleng District","HQWVsxPWw8B","Kgatleng District","yNcvm7JYBfi","1 - Scale-Up: Saturation",309,279,0.903,380,"Botswana","Kgatleng District","Kgatleng District",12177,28410,198590.9184
"29","Botswana","Botswana","Kweneng District","VUnIpCPLhPI","Kweneng East District","Uz8LWtC0vYF","1 - Scale-Up: Saturation",1594,1381,0.866,1726,"Botswana","Kweneng East District","Kweneng East District",29678,86991,333363.7024
"30","Botswana","Botswana","North East District","wZl8hXAOSB0","Francistown District","h1CepDrLWib","4 - Sustained",1215,1000,0.823,1437,"Botswana","Francistown District","Francistown District",3389,1129,460228.57799
"31","Botswana","Botswana","North East District","wZl8hXAOSB0","North East District","nszh0FzynAQ","4 - Sustained",90,54,0.6,277,"Botswana","North East District","North East District",28655,0,135738.44697
"32","Botswana","Botswana","North West District","Vvry5LAFBk2","Ngamiland District","TnDQJQtNVCK","6 - Sustained: Commodities",0,0,,20,"Botswana","Ngamiland District","Ngamiland District",1231,411,735330.9878
"33","Botswana","Botswana","North West District","Vvry5LAFBk2","Okavango District","ML9AwCIGjAx",,0,0,,69,"Botswana","Okavango District","Okavango District",14327,0,293089.4866
"34","Botswana","Botswana","South East District","Dy1sl76KWJO","Gaborone District","VB7am4futjm","1 - Scale-Up: Saturation",1587,1396,0.88,2028,"Botswana","Gaborone District","Gaborone District",17443,60948,1134578.0198
"35","Botswana","Botswana","South East District","Dy1sl76KWJO","South East District","YksWHI1yLuv","1 - Scale-Up: Saturation",128,113,0.883,162,"Botswana","South East District","South East District",10444,19887,86734.760425
"36","Botswana","Botswana","Southern","PnQKlXXlzLS","Goodhope District","y8A4MNQse4l","1 - Scale-Up: Saturation",234,186,0.795,319,"Botswana","Goodhope District","Goodhope District",3008,17046,97248.222984
"37","Botswana","Botswana","Southern","PnQKlXXlzLS","Southern District","LEUjALXInGD","1 - Scale-Up: Saturation",288,241,0.837,504,"Botswana","Southern District","Southern District",11175,22728,198851.07883
"38","Burma","Burma","_Military Burma","Q6SLJ0iou4u","_Military Burma","Q6SLJ0iou4u",,0,0,,0,"Burma","_Military Burma","_Military Burma",0,0,0
"39","Burma","Burma","Ayeyarwady","G1WOgJCQrxE","Ayeyarwady","G1WOgJCQrxE",,2,1,0.5,10,"Burma","Ayeyarwady","Ayeyarwady",0,0,245.72
"40","Burma","Burma","Bago","d9cV3v6trDW","Bago","d9cV3v6trDW",,2,2,1,3,"Burma","Bago","Bago",0,0,80.57
"41","Burma","Burma","Bago","d9cV3v6trDW","Bago","d9cV3v6trDW",,0,0,,1,"Burma","Bago","Bago",0,0,80.57
"42","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,0,"Burma","Kachin","Kachin",0,0,27669.79
"43","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,0,"Burma","Kachin","Kachin",0,0,27669.79
"44","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,0,"Burma","Kachin","Kachin",0,0,27669.79
"45","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,33,"Burma","Kachin","Kachin",0,0,27669.79
"46","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,0,"Burma","Kachin","Kachin",0,0,27669.79
"47","Burma","Burma","Kachin","JUjFTp1cqp8","Kachin","JUjFTp1cqp8",,0,0,,0,"Burma","Kachin","Kachin",0,0,27669.79
"48","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,7,7,1,5,"Burma","Mandalay","Mandalay",0,0,141096.96
"49","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,52,48,0.923,234,"Burma","Mandalay","Mandalay",0,0,141096.96
"50","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,9,"Burma","Mandalay","Mandalay",0,0,141096.96
"51","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,0,"Burma","Mandalay","Mandalay",0,0,141096.96
"52","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,17,"Burma","Mandalay","Mandalay",0,0,141096.96
"53","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,29,"Burma","Mandalay","Mandalay",0,0,141096.96
"54","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,6,"Burma","Mandalay","Mandalay",0,0,141096.96
"55","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,14,"Burma","Mandalay","Mandalay",0,0,141096.96
"56","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,5,"Burma","Mandalay","Mandalay",0,0,141096.96
"57","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,10,"Burma","Mandalay","Mandalay",0,0,141096.96
"58","Burma","Burma","Mandalay","K2l3X1FeBaw","Mandalay","K2l3X1FeBaw",,0,0,,3,"Burma","Mandalay","Mandalay",0,0,141096.96
"59","Burma","Burma","Sagaing","tjAeRhElWLO","Sagaing","tjAeRhElWLO",,10,10,1,11,"Burma","Sagaing","Sagaing",0,0,1571.82
"60","Burma","Burma","Sagaing","tjAeRhElWLO","Sagaing","tjAeRhElWLO",,27,25,0.926,27,"Burma","Sagaing","Sagaing",0,0,1571.82
"61","Burma","Burma","Shan(North)","DXXjREHyM1W","Shan(North)","DXXjREHyM1W",,0,0,,0,"Burma","Shan(North)","Shan(North)",0,0,71598.444
"62","Burma","Burma","Shan(North)","DXXjREHyM1W","Shan(North)","DXXjREHyM1W",,3,3,1,10,"Burma","Shan(North)","Shan(North)",0,0,71598.444
"63","Burma","Burma","Shan(North)","DXXjREHyM1W","Shan(North)","DXXjREHyM1W",,0,0,,0,"Burma","Shan(North)","Shan(North)",0,0,71598.444
"64","Burma","Burma","Shan(South)","nGdL9qCCIC3","Shan(South)","nGdL9qCCIC3",,0,0,,3,"Burma","Shan(South)","Shan(South)",0,0,1029.54
"65","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"66","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"67","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"68","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,9,"Burma","Yangon","Yangon",0,0,287846.734
"69","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"70","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,6,"Burma","Yangon","Yangon",0,0,287846.734
"71","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,3,"Burma","Yangon","Yangon",0,0,287846.734
"72","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"73","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,2,"Burma","Yangon","Yangon",0,0,287846.734
"74","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,3,"Burma","Yangon","Yangon",0,0,287846.734
"75","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,26,26,1,147,"Burma","Yangon","Yangon",0,0,287846.734
"76","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,7,"Burma","Yangon","Yangon",0,0,287846.734
"77","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,7,"Burma","Yangon","Yangon",0,0,287846.734
"78","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,13,"Burma","Yangon","Yangon",0,0,287846.734
"79","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,3,"Burma","Yangon","Yangon",0,0,287846.734
"80","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,18,18,1,13,"Burma","Yangon","Yangon",0,0,287846.734
"81","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,4,"Burma","Yangon","Yangon",0,0,287846.734
"82","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,223,201,0.901,351,"Burma","Yangon","Yangon",0,0,287846.734
"83","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,2,"Burma","Yangon","Yangon",0,0,287846.734
"84","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,0,"Burma","Yangon","Yangon",0,0,287846.734
"85","Burma","Burma","Yangon","wHyxqDBkQz0","Yangon","wHyxqDBkQz0",,0,0,,5,"Burma","Yangon","Yangon",0,0,287846.734
"86","Burundi","Burundi","_Military Burundi","yDmdrNI3wNW","_Military Burundi","yDmdrNI3wNW",,143,127,0.888,270,"Burundi","_Military Burundi","_Military Burundi",0,0,324750.4
"87","Burundi","Burundi","Bujumbura Mairie","wAZig6EhE1E","Bujumbura Mairie","wAZig6EhE1E","4 - Sustained",2112,1861,0.881,2726,"Burundi","Bujumbura Mairie","Bujumbura Mairie",0,0,118979.77485
"88","Burundi","Burundi","Bujumbura Rural","XvmMVfsPylt","Bujumbura Rural","XvmMVfsPylt","1 - Scale-Up: Saturation",164,142,0.866,429,"Burundi","Bujumbura Rural","Bujumbura Rural",0,0,95824.19697
"89","Burundi","Burundi","Gitega","uVjOumOk6WM","Gitega","uVjOumOk6WM","6 - Sustained: Commodities",0,0,,0,"Burundi","Gitega","Gitega",0,0,167314.9
"90","Burundi","Burundi","Karusi","ROXWvjoqBC7","Karusi","ROXWvjoqBC7","6 - Sustained: Commodities",0,0,,0,"Burundi","Karuzi","Karuzi",0,0,0
"91","Burundi","Burundi","Kayanza","WYx3txQzS4e","Kayanza","WYx3txQzS4e","2 - Scale-Up: Aggressive",380,357,0.939,576,"Burundi","Kayanza","Kayanza",0,246,76056.23125
"92","Burundi","Burundi","Kirundo","Sj1YMJNo9Tt","Kirundo","Sj1YMJNo9Tt","2 - Scale-Up: Aggressive",480,405,0.844,1590,"Burundi","Kirundo","Kirundo",0,3000,69383.3226
"93","Burundi","Burundi","Muyinga","hNzRCFFUg9X","Muyinga","hNzRCFFUg9X","6 - Sustained: Commodities",0,0,,0,"Burundi","Muyinga","Muyinga",0,0,0
"94","Burundi","Burundi","Ngozi","EFTH3ILZG8X","Ngozi","EFTH3ILZG8X","2 - Scale-Up: Aggressive",668,544,0.814,736,"Burundi","Ngozi","Ngozi",0,0,383276.99987
"95","Cambodia","Cambodia","Banteay Meanchey","L53slqyK6U3","Banteay Meanchey","L53slqyK6U3","4 - Sustained",325,227,0.698,328,"Cambodia","Banteay Meanchey","Banteay Meanchey",1382,5913,129813.34879
"96","Cambodia","Cambodia","Battambang","EIgwTZYQ4AM","Battambang","EIgwTZYQ4AM","4 - Sustained",518,431,0.832,325,"Cambodia","Battambang","Battambang",1383,10252,107172.8301
"97","Cambodia","Cambodia","Kampong Cham","mJSKgMf0d8m","Kampong Cham","mJSKgMf0d8m","4 - Sustained",0,0,,112,"Cambodia","Kampong Cham","Kampong Cham",38498,33685,51678.44885
"98","Cambodia","Cambodia","Pailin","FGZxGeCGng4","Pailin","FGZxGeCGng4","4 - Sustained",0,0,,0,"Cambodia","Pailin","Pailin",0,1075,33117.3539
"99","Cambodia","Cambodia","Phnom Penh","zISPNxlpV1d","Phnom Penh","zISPNxlpV1d","4 - Sustained",111,86,0.775,292,"Cambodia","Phnom Penh","Phnom Penh",42738,37395,242225.43934
"100","Cambodia","Cambodia","Pursat","hdn9cVK1k0z","Pursat","hdn9cVK1k0z","4 - Sustained",90,80,0.889,89,"Cambodia","Pursat","Pursat",1379,2007,43660.316978
"101","Cambodia","Cambodia","Siem Reap","IMksPDAO9RH","Siem Reap","IMksPDAO9RH","4 - Sustained",0,0,,288,"Cambodia","Siem Reap","Siem Reap",36358,31814,210382.64091
"102","Cameroon","Cameroon","_Military Cameroon","eky41asIrS2","_Military Cameroon","eky41asIrS2",,666,519,0.779,1163,"Cameroon","_Military Cameroon","_Military Cameroon",60912,34790,330016.4992
"103","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Akonolinga","RKsnc4nFUzT","4 - Sustained",211,97,0.46,246,"Cameroon","Centre","Akonolinga",0,0,25896.184827
"104","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Awae","nbkoU3gPiM0","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Awae",0,0,0
"105","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ayos","ZxJNWnk4hYW","4 - Sustained",220,136,0.618,254,"Cameroon","Centre","Ayos",0,0,77671.691231
"106","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Bafia","clasYX5teTV","4 - Sustained",301,161,0.535,541,"Cameroon","Centre","Bafia",0,93,112063.8696
"107","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Biyem Assi","gOaZeiwAoCD","4 - Sustained",1933,1258,0.651,1986,"Cameroon","Centre","Biyem Assi",12569,9799,258976.93054
"108","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Cite Verte","NG7DU8YJlw7","4 - Sustained",2725,1932,0.709,2241,"Cameroon","Centre","Cite Verte",8716,7231,517474.11288
"109","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Djoungolo","vewKgey8sOW","1 - Scale-Up: Saturation",2941,1676,0.57,5096,"Cameroon","Centre","Djoungolo",9553,7626,1137201.1011
"110","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ebebda","UVkUJt5o0py","4 - Sustained",72,47,0.653,65,"Cameroon","Centre","Ebebda",0,0,0
"111","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Efoulan","JQIkiENA6nM","4 - Sustained",605,284,0.469,1169,"Cameroon","Centre","Efoulan",11072,8802,190952.54943
"112","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Elig Mfomo","sJDHzjIEcte","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Elig Mfomo",0,0,0
"113","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Eseka","h7r7vMKQIy8","4 - Sustained",85,85,1,110,"Cameroon","Centre","Eseka",0,0,19808.023204
"114","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Esse","VGZnGAkKRN3","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Esse",0,0,0
"115","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Evodoula","GFXacOqu8d0","4 - Sustained",0,0,,0,"Cameroon","Centre","Evodoula",0,0,0
"116","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Mbalmayo","haFG5XDW24C","4 - Sustained",570,234,0.411,901,"Cameroon","Centre","Mbalmayo",0,0,132544.86883
"117","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Mbandjock","bluPTs5StEv","4 - Sustained",0,0,,101,"Cameroon","Centre","Mbandjock",0,0,19794.071147
"118","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Mbankomo","VLxcOygmtHk","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Mbankomo",0,0,0
"119","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Mfou","PJKaNADvNfi","4 - Sustained",283,177,0.625,399,"Cameroon","Centre","Mfou",0,0,19719.956403
"120","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Monatele","YXiMSh7CqES","4 - Sustained",72,49,0.681,93,"Cameroon","Centre","Monatele",0,0,13670.360915
"121","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Nanga Eboko","fHkrk3yL1uU","4 - Sustained",254,153,0.602,338,"Cameroon","Centre","Nanga Eboko",0,0,19791.566418
"122","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ndikinimeki","oAgxCCStCQe","4 - Sustained",94,94,1,138,"Cameroon","Centre","Ndikinimeki",0,0,17172.838624
"123","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ngog Mapubi","li3fcQxXdg7","4 - Sustained",91,52,0.571,77,"Cameroon","Centre","Ngog Mapubi",0,0,17181.106426
"124","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ngoumou","qc293v9pKIX","4 - Sustained",246,173,0.703,193,"Cameroon","Centre","Ngoumou",0,0,74130.522809
"125","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Nkolbisson","ThGVWZfLjoq","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Nkolbisson",0,0,0
"126","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Nkolndongo","YuCzvkHV2X5","4 - Sustained",594,335,0.564,1304,"Cameroon","Centre","Nkolndongo",10839,8646,145509.17666
"127","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Ntui","rahoVxbwRB5","4 - Sustained",71,47,0.662,362,"Cameroon","Centre","Ntui",0,0,104545.49896
"128","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Obala","r5xWCJ4ZqYQ","4 - Sustained",416,252,0.606,1151,"Cameroon","Centre","Obala",0,0,114756.75197
"129","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Okola","hz2Tdvrxqbp","4 - Sustained",118,70,0.593,62,"Cameroon","Centre","Okola",0,0,17072.8929
"130","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Saa","PLYdjomcBkA","4 - Sustained",123,73,0.593,115,"Cameroon","Centre","Saa",0,0,17203.317214
"131","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Soa","Vq1CnJNw46x","4 - Sustained",75,64,0.853,107,"Cameroon","Centre","Soa",0,0,11072.368071
"132","Cameroon","Cameroon","Centre","IaFLxtEwIwk","Yoko","WquO0ev4xvO","5 - Centrally Supported",0,0,,0,"Cameroon","Centre","Yoko",0,0,0
"133","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Abo","VT9tkLtgee9","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Abo",0,0,0
"134","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Boko","GEWks07uHch","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Boko",0,0,0
"135","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Bonassama","dWexWkTwCVe","4 - Sustained",1107,657,0.593,1227,"Cameroon","Littoral","Bonassama",,,260177.33572
"136","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Cite Des Palmiers","rjDWLPMhaY0","4 - Sustained",1072,637,0.594,896,"Cameroon","Littoral","Cite Des Palmiers",,,205117.66109
"137","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Deido","wE76sY8tY19","2 - Scale-Up: Aggressive",1770,1048,0.592,2055,"Cameroon","Littoral","Deido",13041,9848,1008329.4931
"138","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Dibombari","VVLMNX1DVin","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Dibombari",0,0,0
"139","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Edea","jEG1QQsvDeX","4 - Sustained",434,236,0.544,560,"Cameroon","Littoral","Edea",0,0,131638.3459
"140","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Japoma","bLF8QVYOUu3","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Japoma",0,0,0
"141","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Logbaba","ZGqUbMqrxSK","4 - Sustained",491,374,0.762,623,"Cameroon","Littoral","Logbaba",0,0,145149.90175
"142","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Loum","Ns6ZJi0iwJj","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Loum",0,0,0
"143","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Manjo","O4ls7EsyEQP","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Manjo",0,0,0
"144","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Manoka","HAijUCVbjCr","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Manoka",0,0,0
"145","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Mbanga","nUeu5anINhj","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Mbanga",0,0,0
"146","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Mbangue","bIoxP4GA2JE","4 - Sustained",189,138,0.73,412,"Cameroon","Littoral","Mbangue",0,0,183345.86847
"147","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Melong","VFxTcRztfUD","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Melong",0,0,0
"148","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Ndom","Q966kXsyR20","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Ndom",0,0,0
"149","Cameroon","Cameroon","Littoral","MTRiZG58YEx","New Bell","k7lIVnxWbm7","4 - Sustained",1288,884,0.686,1998,"Cameroon","Littoral","New Bell",,,238443.33269
"150","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Ngambe","HBG4z9eT0gp","5 - Centrally Supported",0,0,,0,"Cameroon","Littoral","Ngambe",0,0,0
"151","Cameroon","Cameroon","Littoral","MTRiZG58YEx","Njombe Penja","iwzUigxHuvr","4 - Sustained",298,228,0.765,194,"Cameroon","Littoral","Njombe Penja",0,0,67807.821262
