district,pop_male,pop_female,pop_total,edu_never,edu_nonformal,edu_primary,edu_secondary,edu_higher,total_edu,unempl,econactive,econpop,unempl_rate,econpart_rate,water_piped,water_standpipe,water_comm,water_borehole,water_well,water_river,water_riverbed,water_dam,water_bouser,water_standpipe_neighbor,toilet_own_flush,toilet_own_pit,toilet_neighbor_flush,toilet_neighbor_pit,toilet_comm_flush,toilet_comm_pit,toilet_latrine,toilet_bush,light_elec_mains,light_elec_solar,light_gas,light_paraffin,light_wood,light_coal,light_dung,light_other,cooking_elec_mains,cooking_elec_solar,cooking_gas,cooking_paraffin,cooking_wood,cooking_coal,cooking_dung,cooking_other,media_radio,media_tv,media_telephone,media_cellphone,media_print,media_electronic,media_performingarts,total_media,drugs_male,total_drugs_male,drugs_female,total_drugs_female,drugs_bothsex,total_drugs_bothsex,incidence_male,incidence_female,incidence_total,prevalence_total,condom_first,condom_last,condom_always,total_condom,prevent_condom,prevention_partners,prevention_monog,prevention_casual,prevention_nosex,prevention_nocommercialsex,prevention_needles,prevention_notransfusions,prevention_dontknow,prevention_other,total_heardofhiv,attitude_meal,attitude_care,attitude_teach,attitude_buy,attitude_secret,tested_pct,access_home,access_orphan,access_support,access_destitute,access_arv,access_pmtct,access_ipt,access_vct,access_other
Southeast,18263,19406,37669,2616,301,7135,17675,9632,37360,6227,31412,47820,19.8,65.7,6741,11552,668,308,,,,358,98,238,8021,10274,,209,414,118,,967,14298,219,86,5422,,33,,,2817,91,13032,898,3163,55,,,82,76.3,26.6,88.5,81.7,37.3,35.1,20058,754,18263,0,19406,754,37669,2.54,0.75,1.64,12.6,59.8,52.8,49,31046,85.7,17.7,21,3,53,2.3,11.2,7.7,0,4,36825,34.2,94.1,84.5,82.1,63.9,61.3,9,8.3,5.1,6.6,6.4,5.9,14.4,7.5,0.3
Kweneng East,61417,71986,133403,13406,1839,36519,60973,19254,131992,28749,100254,168354,28.7,59.5,11987,34281,10632,1538,46,,58,1103,288,4939,14134,41629,72,2468,,776,,5636,28568,660,81,34376,274,769,205,,5678,95,36020,2332,20464,125,,92,80.6,60.9,22.6,87.1,74.2,28.8,31,64932,2797,61356,217,71742,3014,133098,1.6,2.99,2.35,16.7,55.8,52,45,102997,82,14,16,2.5,56.4,0.9,9,6,0.5,5.6,128211,33.6,94.8,83,77.5,59.4,55.2,4.8,4.3,3.3,3.5,5.6,5.3,23.6,5.2,0.1
Kweneng West,9306,12455,21761,6281,923,6809,6746,844,21603,4026,11806,28908,34.1,40.8,396,2362,9504,275,158,,,,,336,396,4426,,1168,,82,,6959,1182,,,10749,,1014,85,,177,,1434,79,11229,111,,,54.9,20.1,6.5,52.1,44.7,4.9,3.7,13031,430,9197,0,12388,430,21584,1.34,4.15,2.93,10.3,37.1,30.8,24,15330,83,6.1,15.3,0.8,42.8,0.4,4,2,0.4,0.5,20045,27.5,93.8,71.9,71.4,54.3,52.4,3.5,2.9,3.1,3,3.7,3.9,20.3,4.4,0
Kgatleng,19918,25178,45096,2889,1936,12645,22688,4278,44436,10205,30161,55772,33.8,54.1,4668,10960,619,1028,373,,129,129,667,1604,4587,11959,72,1498,,,,2060,9492,205,51,10307,53,68,87,,2187,113,7303,190,10383,,,,78,62.8,33,84.5,69.8,21.9,35.1,20264,1239,19918,120,25031,1359,44949,1.41,2.9,2.24,15.8,54.5,47.3,40,33755,87.1,10.4,14,1.7,50.3,0.7,5.9,3.1,0,6,42999,27.6,94.4,80,72.3,62.6,53.5,2.6,3.8,1.4,1.9,1.2,3.2,19.4,1.4,0
Central-Serowe,38636,49924,88561,12952,1620,31316,34942,6471,87302,17844,54136,107441,33,50.4,8766,16480,10641,3480,2470,,,46,548,2125,9885,18384,77,3838,92,46,,12028,16387,512,,23301,217,3708,385,45,4237,167,12001,271,27680,155,,,71,45.5,21.9,70.6,60.6,17.3,26,44556,2458,38579,122,49925,2580,88504,4.18,3.02,3.56,20,49,47,42,60861,82.7,6.8,10,2.1,55.3,0.3,4.5,3.5,1,3,81986,31.5,95,77.8,70.7,69.2,53.5,4.1,4,1.9,4.4,8,4.3,24.5,4.5,0.2
Central-Mahalapye,29867,35083,64950,7410,1256,26398,24342,4167,63571,11375,35660,76054,31.9,46.9,4529,11655,10467,2449,265,156,39,,,913,5257,16491,149,3046,,229,,5159,8915,237,102,19101,471,1355,429,,2110,196,7523,352,20180,50,,,71,47.9,34.9,74.1,62.3,18.9,36.5,30610,1303,29597,80,35021,1383,64618,0.45,1.03,0.76,17.1,48.8,47.9,42,44690,85.3,10,13,2.3,57.1,0.8,8.5,5.6,0,3,60129,34.3,94.6,80.2,73.7,64.3,52.4,3.1,4.8,1.1,5.1,7.1,5.5,27.6,6.2,0
Central-Bobonong,15360,19021,34381,3801,453,13511,14227,1594,33586,5562,18563,40777,30,45.5,1091,7049,3757,2214,385,,2312,533,61,1240,1799,8072,204,1797,,,,6770,4710,182,59,12414,,1156,121,,907,,2648,406,14681,,,,74,50,33.2,71.3,59.8,15.8,23.3,18642,463,15360,64,19020,527,34381,2.47,6.43,4.69,18.9,50.8,47.3,42,23213,87.2,6.8,13,2.4,52.6,0.4,8.1,4.7,0,6,32833,23.5,94.3,79.7,69,63.2,54.8,4.2,9.5,4.2,4.1,7.8,4.1,28,5.3,0
Central-Boteti,10215,13018,23233,3963,1302,6767,10231,864,23126,3845,13558,27784,28.4,48.8,504,4900,3272,1354,480,,107,,107,689,1001,5654,86,1194,,,,3529,2355,80,165,6971,204,1413,276,,158,80,3000,243,7983,,,,69,35.5,11.2,69.5,48.9,9.5,13.8,11464,573,10215,86,13018,660,23233,1.11,3.04,2.19,14.6,46.2,42.3,36,16580,85.9,9.1,11,4,55.5,0,8.1,6.7,1,2,21320,30.3,96.2,82.3,77.5,70.2,57,4.9,3.5,1.2,5.7,4.9,3.8,21.5,2.6,0
Central-Tutume,28179,42090,70268,9258,1355,26910,27331,5019,69872,13781,41159,87069,33.5,47.3,3434,11597,13789,1802,563,809,694,,399,1714,4721,17944,250,4242,,216,,7370,10169,492,,21029,44,2842,225,,1176,91,5854,221,27242,160,,56,67,46.7,20.5,71.7,54,17.7,30.6,34800,1399,27987,264,41999,1663,69986,1.97,2.01,1.99,20,47.8,42,37,45702,82.5,8.5,11,3.4,49.1,1.5,6.9,4.3,0,6,63682,28.3,94.2,73.9,66.1,57.9,48.3,5,8.7,2.8,5.2,6.3,5.5,25.5,4.9,0.1
Northeast,12392,15924,28317,1345,433,9672,12976,3763,28190,2962,16086,33311,18.4,48.3,3787,7423,1967,407,71,136,,,339,1149,4744,8781,73,777,,339,,564,7770,284,,7020,204,,,,1656,73,5359,71,8119,,,,76,57.7,24.4,85.1,71,23.5,32.6,15278,684,12392,0,15924,684,28316,,3.28,1.72,21.8,52.9,49,39,19705,87.2,8.8,13,1.2,62.7,1.3,7.7,7,1,8,26771,28.2,93.5,86,78.7,60.7,57,5.1,6.8,1.5,2.9,6,3.8,29.8,4.7,0
Ngamiland South,17870,23085,40955,3656,437,12030,19177,5438,40853,6795,27705,47759,24.5,58,4119,7820,4112,1488,320,157,446,206,189,816,4287,9818,,1090,297,256,,3925,10446,438,,7923,561,41,265,,2328,48,7676,297,9193,,,132,77.8,55.6,23.5,79,58.9,18.5,18.2,19674,1280,17870,318,23085,1598,40955,4.79,3.33,4.03,19.8,57.1,51,43.8,32000,86,10.5,15.9,2.3,54.9,1.4,7,4,0.2,1.7,38852,34.6,97.8,87.6,81.6,63.7,63.1,3,3.8,1.2,2.7,4,4.8,17.9,4.2,0.4
Ngamiland North,10846,14301,25147,5113,396,7401,10661,1155,24727,8790,16894,33667,52,50.2,516,1798,8088,44,302,1676,145,,511,387,576,2415,,1092,,283,,9101,1159,318,,10421,,1097,473,,,,1635,108,11723,,,,55.4,25.3,13,54.7,35.7,5.1,15.7,13467,774,10795,0,14301,774,25096,2.28,4.19,3.3,16.5,50.4,47,39,19680,82,6.5,9.7,1.3,38,0,7,5,1,3.3,23385,40.3,96.7,80.5,76,67.1,61.6,5.9,6.9,5.9,6.4,10.4,10.9,20.6,8.3,1.1
Chobe,5259,8399,13658,428,66,3492,8042,1218,13246,2793,10610,15428,26.3,68.8,1830,4527,314,,,,,,,136,1793,3942,275,239,,82,,474,4154,111,92,2365,,23,83,,745,63,3584,271,2142,,,,84,69.1,48.3,87.8,78.6,40.2,32,6828,126,5045,0,8270,126,13315,0.89,0.82,0.85,23,58.7,47.6,45.2,10369,95.4,5.5,11,1.9,56.3,1.7,13,0.5,0,2,12955,49.5,97.1,90.8,90.8,73.2,64.7,3.9,4,4.3,2.5,7,4.7,37.7,3.9,0.2
Ghanzi,10401,10267,20668,2769,217,6733,8943,1810,20471,3869,13719,23582,28.2,58.2,2425,2936,2184,1911,,,,36,,1400,2580,2692,,1495,,,,4299,3618,274,,6574,266,174,159,122,1144,,3244,87,6505,,,,67,33.5,7,62.1,53.9,13.7,18.9,11188,819,10401,36,10267,855,20668,,,0,13.5,54.1,54.8,44.9,14992,85.5,10.2,13,3.9,43.7,0,6.4,2.9,0,3,19261,32.6,90.3,78.9,74.6,63.8,56.8,2.8,6,2.3,4.8,6.5,2.9,12.6,2.4,0
Kgalagadi South,6330,9409,15739,1224,487,5866,6569,1416,15562,2686,8723,19117,30.8,45.6,2097,3753,739,265,,,,,,817,2123,3781,94,858,,,,817,3110,321,22,3968,111,141,,,839,,2722,67,4044,,,,65.9,44.4,22.7,78.9,67.4,21.8,11.7,7672,153,6330,0,9409,153,15739,3.19,2.4,2.73,19.1,52.9,54.3,45.6,11519,83.3,8.6,15.1,3.5,50.6,1.5,6,8,1.6,1.1,14961,32.6,96.4,82.9,79.2,54.2,58,2,4.6,2.3,7.1,4.7,6.7,19.2,3.9,0
Kgalagadi North,6392,5783,12175,2505,57,3611,4118,1667,11958,879,6399,13211,13.7,48.4,1056,1740,1749,1002,,,,,211,361,1209,1444,80,631,,316,,2440,1667,53,,3132,53,1215,,,384,,1528,213,3994,,,,52.6,24.7,4.3,46.2,45,17.3,13.8,6120,755,6392,136,5782,892,12175,,2.6,1.18,11.8,55.1,51.1,40.9,9325,85.4,7.8,13.3,1.9,43.4,0,1,2,0.7,4.6,10940,33.7,95.7,77.1,75.9,49,51.7,3.3,4.9,0.7,1.3,2.7,1.8,29.6,1.1,0
